id,memberCount,proposalCount,rageQuitCount,summoner,summoningTime,timestamp,name,totalGas,version,voteCount,network
0x78f96767012ae634c9a9554e7b46bcd29ae98cff,0,11,1,0xcd3819de87468620d8317cfcc165fd4114aa5090,1597867990,1597868015,Testing DAO,13979780000000000,2,9,xdai
0x7e1eaffa3193fd316b11eea2432ac1d393b45b4c,0,6,0,0x6fc46b64e3de0a4962d15a75129f39a9068c6f10,1598110305,1598110360,Anti-Federalist Papers Club,6194179000000000,2,4,xdai
0x7ed6356029b90d3a07af2cff63923063684160af,0,0,0,0x3d47801a361885d164f5899b253ee2b43c11ba8b,1601476715,1601476735,Test DAO,187740000000000,2,0,xdai
0x7fc3de87d15281fe46d00ccee0d87bdf98670567,0,3,1,0xf62af1ae0aa967ee61d36f26dae2a79f0de929d4,1598025005,1598025160,BabelDAO,289452199000000000,2,0,xdai
0x7fd5366cea0bd766734c66e6151b854842603465,0,0,0,0xa3564677fc4907a15c9a7eae1dbc1ae9ac57b8e1,1603309040,1603309065,MusicDAO,187740000000000,2,0,xdai
0x8131245d9ff0e9a6eb3c9db142f9b8dc180d6e87,0,2,0,0x855aeaea9f5eb0f4a4dcd88dfc8c394337798e67,1601760435,1601760475,WildSquadAppeared,1844162000000000,2,1,xdai
0x8133c4958576b0dfd06e5cdea73118ce3ca849e0,0,0,0,0xd03f3e6c1b7272aa1f2336c1856a74d759fd0a6a,1596238335,1596238550,XDAI BUDOKAI,187812000000000,2,0,xdai
0x85d7078c883c1a397976841366eff2952920676b,0,3,0,0x6fc46b64e3de0a4962d15a75129f39a9068c6f10,1598992595,1598992625,DAO Rush Week DAO,3223126000000000,2,3,xdai
0x8c0cd642600aa37057eb10c586eebfbd3880b8bf,0,47,0,0x68d36dcbdd7bbf206e27134f28103abe7cf972df,1597358010,1597358045,Haus of DAOs,37092408000000000,2,9,xdai
0x8d2ec7025957d09cfb0a8197f9aacd0dcc08b21a,0,21,7,0xe04885c3f1419c6e8495c33bdcf5f8387cd88846,1598997085,1598997125,HausPaladin,127420107000000000,2,21,xdai
0x905def314a0999df58960486ab4d7048dee53f8f,0,22,0,0x4744cda32be7b3e75b9334001da9ed21789d4c0d,1598658455,1598658480,Mol LeArt,29568239000000000,2,30,xdai
0x97ace434171c7eb426548afc4af188a3c973a38d,0,25,3,0x66b1de0f14a0ce971f7f248415063d44caf19398,1599686285,1599686310,STAKE DAO,39362460622211209,2,26,xdai
0x984993a7fdab79a06b3be23b02eac2bb3865fc2e,0,0,0,0x39f7e47a5b15a2d28e3e6314aa6bee450a2546dc,1599144645,1599146080,Prudence,187740000000000,2,0,xdai
0x9d47b37f50cd6b28fce67675f05aa93cc7e268d6,0,0,0,0x18bb987303a3455ba43850452cea7a586e37f41a,1601283705,1601306010,Blockchain Italia DAO,187974000000000,2,0,xdai
0xb4abc512610411682108513fd17c90e46c39d82e,0,23,2,0x6fc46b64e3de0a4962d15a75129f39a9068c6f10,1596397320,1596397370,📜 Federalist Papers Club,37470535671520000,2,24,xdai
0xc4f205194a05802e8dca84396ac7261f576de506,0,4,0,0x1b1e924a0a9c86a9023be9791bb81ecfb8cc4011,1601148780,1601148875,EmpanaDAO,6157507000000000,2,6,xdai
0xc71cf78d98dcd155559b9bf77a6b5cde44b7d881,0,10,1,0xced608aa29bb92185d9b6340adcbfa263dae075b,1603248830,1603248850,Achievmintry,14542982000000000,2,9,xdai
0xc8e0d7fd13eb3cbc19eb293d0e00b8386cc1b6f2,0,18,14,0xced608aa29bb92185d9b6340adcbfa263dae075b,1599502730,1599502750,HausMageSmiths,194442568576342000,2,28,xdai
0xcebee8c67ebbb53257c34c72f5c40dc1a0a34482,0,2,0,0x83ab8e31df35aa3281d630529c6f4bf5ac7f7abf,1596225620,1596225645,Pizza Man DAO,2424806000000000,2,0,xdai
0xcebf3e689bdf3739b2ea47c513be1c7d54c7719f,0,0,0,0x6fc46b64e3de0a4962d15a75129f39a9068c6f10,1597867970,1597868030,Testing,187722000000000,2,0,xdai
0xcf675780281d158cb1cb1796715cfaabbd46bc9d,0,6,1,0x15c6ac4cf1b5e49c44332fb0a1043ccab19db80a,1601166925,1601166945,xCrow,7567204000000000,2,5,xdai
0xd1924dc661a3e0563defe8e8028485211799e2b0,0,25,4,0x7136fbddd4dffa2369a9283b6e90a040318011ca,1600134265,1600134280,DAOhaus Alchemist,30994269000000000,2,18,xdai
0xd2f4978243a7ea6bea60ec26ddf93c4dc9b28a48,0,1,0,0x885f12b525218ca9377755f9a534ce230ac5d2d8,1601766440,1601766600,Test Guild,641791000000000,2,0,xdai
